0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:03 +0530] "GET /Parlimate/DiscussionRoom/header.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:03 +0530] "GET /Parlimate/loadSidebar.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:03 +0530] "GET /Parlimate/DiscussionRoom/reqPop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:03 +0530] "GET /Parlimate/assets/images/ranil.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:03 +0530] "GET /Parlimate/assets/images/images.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:03 +0530] "GET /Parlimate/assets/images/AKD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2025:20:57:04 +0530] "GET /Parlimate/DiscussionRoom/discussin.js HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:13:21 +0530] "GET /Parlimate/Fundraising/fundraising.jsp HTTP/1.1" 200 37485
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:13:21 +0530] "GET /Parlimate/Fundraising/fundraising.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:13:21 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:13:21 +0530] "GET /Parlimate/Fundraising/header.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:13:21 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:13:21 +0530] "GET /Parlimate/loadSidebar.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:16:33 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 17657
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:16:33 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:16:33 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:16:33 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:16:33 +0530] "GET /Parlimate/Surveys/header.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:09 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 17862
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:09 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:09 +0530] "GET /Parlimate/Surveys/header.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:09 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:49 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 17876
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:49 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:49 +0530] "GET /Parlimate/Surveys/header.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:17:49 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:18:09 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 17905
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:18:09 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:18:09 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:18:09 +0530] "GET /Parlimate/Surveys/header.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:19:04 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 17905
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:19:04 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:19:04 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:19:04 +0530] "GET /Parlimate/Surveys/header.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Feb/2025:21:19:05 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 17905
