0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/DiscussionRoom/header.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/assets/images.jpeg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/assets/ranil.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/assets/AKD.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/DiscussionRoom/discussin.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/assets/images.jpeg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:25 +0530] "GET /Parlimate/assets/ranil.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /Parlimate/Help/help.jsp HTTP/1.1" 200 13752
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /Parlimate/Help/header.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /Parlimate/Help/help1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /Parlimate/index/header/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /Parlimate/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:37 +0530] "GET /Parlimate/Help/help.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:39 +0530] "GET /Parlimate/Announcements/GetListServlet?announcementId=123 HTTP/1.1" 200 23196
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:39 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:39 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:39 +0530] "GET /Parlimate/Announcements/header.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:40 +0530] "GET /Parlimate/Fundraising/fundraising.jsp HTTP/1.1" 200 16758
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:40 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:40 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:40 +0530] "GET /Parlimate/Fundraising/header.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:40 +0530] "GET /Parlimate/Fundraising/images/tree.jpg HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:41 +0530] "GET /Parlimate/Notification/notification.jsp HTTP/1.1" 200 12723
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:41 +0530] "GET /sidebar1.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:41 +0530] "GET /css/app-wa-09b459cf485d4b1f3304947240314c05.css?vsn=d HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:41 +0530] "GET /Parlimate/Notification/header.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:41 +0530] "GET /Parlimate/notifications.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Nov/2024:10:20:43 +0530] "GET /Parlimate/Surveys/surveys.jsp HTTP/1.1" 200 18024
